Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.946543235,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.947824198,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.981637662,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,117.987171697,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.477412708,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.44261449,0.0,0.0,0.0,43.513341876,52.539744,13.4457814629,0.0,4.83426,8.61152146291
 01/01  07:00:00,118.464262449,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  08:00:00,106.38250284,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,100.433332787,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.495485854,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.51304346,0.0,0.0,0.0,43.513341876,52.539744,13.4525920472,0.0,4.83426,8.61833204722
 01/01  12:00:00,101.317468766,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  13:00:00,100.459307969,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.515817328,0.0,0.0,0.0,43.513341876,52.539744,13.4526411831,0.0,4.83426,8.61838118314
 01/01  15:00:00,100.513701511,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.45341135,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,100.247408303,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,115.191815462,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,118.172530366,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.672595351,0.0,0.0,0.0,43.513341876,52.539744,13.445804581,0.0,4.83426,8.61154458098
 01/01  21:00:00,118.634832072,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,118.361350463,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.99992839,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  24:00:00,118.843991528,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,117.99699949,0.0,0.0,0.0,43.513341876,52.539744,13.4526310053,0.0,4.83426,8.61837100527
 01/02  02:00:00,117.955860447,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,117.912097924,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  04:00:00,117.891232626,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,118.372872507,0.0,0.0,0.0,43.513341876,52.539744,13.4526917426,0.0,4.83426,8.6184317426
 01/02  06:00:00,118.358130768,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  07:00:00,353.031873729,72.0279208112,157.457288425,0.0,43.513341876,53.238744,270.82478806,265.97052806,4.83426,0.02
 01/02  08:00:00,569.650727915,72.0279208112,208.84926858,0.0,220.879908,53.238744,247.791744921,216.639059532,4.83426,26.3184253897
 01/02  09:00:00,711.697733678,72.1381810717,263.7501537,0.0,220.879908,145.652643033,146.230042629,83.4771479038,36.25695,26.4959447256
 01/02  10:00:00,832.676484182,72.6750664948,383.092182038,0.0,220.879908,145.652643033,109.289338343,28.4103431901,36.25695,44.6220451528
 01/02  11:00:00,977.594421732,73.3001569285,520.348708526,0.0,220.879908,151.653867033,84.5536229889,0.466099798933,48.3426,35.74492319
 01/02  12:00:00,1002.8942069,73.8746172523,544.052376887,0.0,220.879908,151.653867033,102.161654891,0.0115586595637,48.3426,53.8074962315
 01/02  13:00:00,1016.37594939,74.5161845715,558.086601729,0.0,220.879908,151.653867033,93.3216659336,0.0,48.3426,44.9790659336
 01/02  14:00:00,1022.41224383,75.7388352726,568.839387718,0.0,220.879908,145.652643033,78.2279446267,0.0104176807998,24.1713,54.0462269459
 01/02  15:00:00,1044.57786297,77.4382281407,589.303554482,0.0,220.879908,145.652643033,59.8872935397,0.0,24.1713,35.7159935397
 01/02  16:00:00,1057.22587635,78.4252210477,608.839219063,0.0,220.879908,137.835547516,49.5454326889,0.0,4.83426,44.7111726889
 01/02  17:00:00,1057.60773345,74.4260423058,618.894122418,0.0,220.879908,133.019064,40.3420775581,0.0114859890324,4.83426,35.4963315691
 01/02  18:00:00,801.184338888,72.5286918885,429.927080695,0.0,220.879908,53.238744,40.3312109823,0.0,4.83426,35.4969509823
 01/02  19:00:00,700.275865923,72.2894221194,326.599217076,0.0,220.879908,53.238744,41.2912049445,0.831489946497,4.83426,35.625454998
 01/02  20:00:00,632.416328462,72.1887249575,258.833441178,0.0,220.879908,53.238744,33.3921526627,19.8711632613,4.83426,8.68672940136
 01/02  21:00:00,607.545631372,72.1477140564,234.109761259,0.0,220.879908,53.238744,53.8616312021,40.3508368268,4.83426,8.67653437538
 01/02  22:00:00,118.305070414,0.0,0.0,0.0,43.513341876,52.539744,22.1682298874,0.0,4.83426,17.3339698874
 01/02  23:00:00,117.993032628,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  24:00:00,118.893895188,0.0,0.0,0.0,43.513341876,52.539744,13.4665931867,0.0,4.83426,8.63233318671
 01/03  01:00:00,118.01180516,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,118.03625668,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,118.062991749,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,118.072282679,0.0,0.0,0.0,43.513341876,52.539744,13.4526826308,0.0,4.83426,8.61842263076
 01/03  05:00:00,120.51254137,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,120.06459999,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,545.251408329,72.0279208112,348.156354566,0.0,43.513341876,53.238744,153.999701162,140.546950281,4.83426,8.61849088108
 01/03  08:00:00,766.388749255,72.0279208112,404.329010744,0.0,220.879908,53.238744,104.634631075,82.2469360822,4.83426,17.5534349928
 01/03  09:00:00,946.340201961,72.9712424693,496.081644584,0.0,220.879908,145.652643033,71.8225302937,0.240343506343,36.25695,35.3252367873
 01/03  10:00:00,984.796583424,73.970456233,532.462962389,0.0,220.879908,145.652643033,71.9598111893,0.0,36.25695,35.7028611893
 01/03  11:00:00,993.845264704,74.6362629819,534.355282081,0.0,220.879908,151.653867033,93.0220367781,0.0,48.3426,44.6794367781
 01/03  12:00:00,1018.5388367,75.3212655683,557.215641713,0.0,220.879908,151.653867033,93.1892023852,0.0,48.3426,44.8466023852
 01/03  13:00:00,1043.35880723,76.1268348868,582.124690751,0.0,220.879908,151.653867033,93.3140215479,0.0,48.3426,44.9714215479
 01/03  14:00:00,1050.13660939,76.9887977712,593.873389655,0.0,220.879908,145.652643033,78.2423592951,0.00934594125604,24.1713,54.0617133539
 01/03  15:00:00,1056.47172065,78.1492761729,599.003628787,0.0,220.879908,145.652643033,68.8127416491,0.0,24.1713,44.6414416491
 01/03  16:00:00,1058.72783538,80.9599360051,606.367388686,0.0,220.879908,137.835547516,40.6095419058,0.0,4.83426,35.7752819058
 01/03  17:00:00,1084.77194698,75.8455274907,642.941491453,0.0,220.879908,133.019064,40.34477677,0.0108763082318,4.83426,35.4996404617
 01/03  18:00:00,993.684231327,73.1452034961,620.214730547,0.0,220.879908,53.238744,40.3293057817,0.0,4.83426,35.4950457817
 01/03  19:00:00,982.264266077,72.7484415849,606.666013499,0.0,220.879908,53.238744,49.3628667085,0.0,4.83426,44.5286067085
 01/03  20:00:00,943.822254137,72.5249414937,568.745998977,0.0,220.879908,53.238744,13.521360544,0.0,4.83426,8.687100544
 01/03  21:00:00,936.876456624,72.4106605843,561.895537133,0.0,220.879908,53.238744,13.509441373,0.0,4.83426,8.67518137299
 01/03  22:00:00,118.17071351,0.0,0.0,0.0,43.513341876,52.539744,13.5113556869,0.0,4.83426,8.67709568694
 01/03  23:00:00,118.21102942,0.0,0.0,0.0,43.513341876,52.539744,13.4770235546,0.0,4.83426,8.64276355456
 01/03  24:00:00,119.06947525,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  01:00:00,118.18672191,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  02:00:00,118.178907726,0.0,0.0,0.0,43.513341876,52.539744,13.4527318718,0.0,4.83426,8.6184718718
 01/04  03:00:00,118.173311474,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  04:00:00,118.168346624,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  05:00:00,118.686740787,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  06:00:00,118.648883689,0.0,0.0,0.0,43.513341876,52.539744,13.4528106077,0.0,4.83426,8.61855060772
 01/04  07:00:00,745.153832272,72.1230175445,547.101311889,0.0,43.513341876,53.238744,4.862863862,0.00860386199854,4.83426,0.02
 01/04  08:00:00,911.305119221,72.0279208112,547.921484395,0.0,220.879908,53.238744,31.153629838,0.0,4.83426,26.319369838
 01/04  09:00:00,990.913002673,74.6168550398,537.909919961,0.0,220.879908,145.652643033,62.7596115841,0.0,36.25695,26.5026615841
 01/04  10:00:00,1015.3380777,76.2441577094,560.011614107,0.0,220.879908,145.652643033,80.8812301529,0.0,36.25695,44.6242801529
 01/04  11:00:00,1062.88582418,78.4102868474,598.853275646,0.0,220.879908,151.653867033,84.0944697083,0.0,48.3426,35.7518697083
 01/04  12:00:00,1084.32036828,82.2040927047,615.624473303,0.0,220.879908,151.653867033,93.1870977306,0.0,48.3426,44.8444977306
 01/04  13:00:00,1086.88764048,84.6740285542,616.96535188,0.0,220.879908,151.653867033,102.315749921,0.0,48.3426,53.9731499209
 01/04  14:00:00,1098.42375719,88.1954172552,630.999157947,0.0,220.879908,145.652643033,69.2326497417,0.0092729746866,24.1713,45.0520767671
 01/04  15:00:00,1113.12418298,90.3489358818,643.471044493,0.0,220.879908,145.652643033,68.8196780702,0.0,24.1713,44.6483780702
 01/04  16:00:00,1108.86261478,89.0040830384,648.761563125,0.0,220.879908,137.835547516,49.5547214301,0.0,4.83426,44.7204614301
 01/04  17:00:00,1115.35843922,79.8024372396,670.330532131,0.0,220.879908,133.019064,40.3483465987,0.0110625423751,4.83426,35.5030240563
 01/04  18:00:00,1014.43347946,75.2568577354,638.868075684,0.0,220.879908,53.238744,40.3348031895,0.0,4.83426,35.5005431895
 01/04  19:00:00,996.210394188,74.4548867471,618.233745931,0.0,220.879908,53.238744,40.4660524783,0.0,4.83426,35.6317924783
 01/04  20:00:00,844.152666518,73.8390925651,468.326105314,0.0,220.879908,53.238744,13.529910116,0.00773291308693,4.83426,8.6879172029
 01/04  21:00:00,584.001283789,73.1732813404,210.071376085,0.0,220.879908,53.238744,27.7904006766,14.2786202497,4.83426,8.67752042686
 01/04  22:00:00,118.248439573,0.0,0.0,0.0,43.513341876,52.539744,13.5120261294,0.0,4.83426,8.6777661294
 01/04  23:00:00,117.950109847,0.0,0.0,0.0,43.513341876,52.539744,13.477062594,0.0,4.83426,8.64280259401
 01/04  24:00:00,118.866554561,0.0,0.0,0.0,43.513341876,52.539744,13.46673255,0.0,4.83426,8.63247255004
 01/05  01:00:00,117.968631406,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  02:00:00,117.929251513,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  03:00:00,117.894680936,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  04:00:00,117.853606015,0.0,0.0,0.0,43.513341876,52.539744,13.4528902094,0.0,4.83426,8.61863020937
 01/05  05:00:00,118.240621773,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  06:00:00,118.18232167,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  07:00:00,191.084290633,72.0279208112,0.00299688777559,0.0,43.513341876,53.238744,785.214218104,773.41671751,4.83426,6.96324059424
